Date,Coal_CO2_greater_than_Oil_CO2
30/06/2020,False
30/07/2020,True
30/08/2020,False
30/09/2020,True
30/10/2020,False
30/11/2020,True
30/12/2020,False
31/01/2020,True
31/03/2020,False
31/05/2020,False
31/07/2020,True
31/08/2020,True
31/10/2020,False
31/12/2020,False
